,Job Title,Job Description
592,Full Stack Developer,grow developer building thing matter groupon 're using global technology team bring back excitement local retail groupon local experience local restaurant ; local nightlife ; local shopping spend day developing tool platform experience help small business thrive local community might look like ordinary ecommerce app surface ’ using cutting edge technology build product regularly positively impact life 50 million people hundred thousand small business owner dynamic pricing team drive one groupon 's important goal - competitive pricing connect data science team customer business user ensure deal see groupon unbeatable pricing build service power many million page view per minute hundred thousand price change day also build application feature allow internal user manage pricing setup special sale campaign ambition drive want road map company know scale want talk 're looking great technology developer hack variety product aimed making customer ’ small business ’ life easier happier work small self-managing collaborative agile team team product designer implement stuff quickly key responsibility work directly product manager engineer build feature improve effectiveness pricing able work mostly independently actively seek feedback user product manager take ownership application ’ feature end-to-end able drive feature design automated test code refactoring way delivery strong advocate best design practice participate highly-collaborative engineering team ; passionate sharing idea constantly improve work culture product build requirement b computer science related field equivalent experience 4+ year professional software development experience front-end backend development platform javascript experience - especially using ember node highly preferred experience java scala plus experience relational database system mysql postgres 're willing excited learn new technology including java clojure scala ember.js nice experience working hadoop/hive must able work open environment chicago office
593,PHP Developer,"We have an urgent opening for PHP Developer with minimum 2+ years of web development experience in PHP & MySQL with strong knowledge of OOPs concepts and any PHP Framework. If you think you are a great PHP programmer then you are at the door step of very exciting opportunity.
Technical Abilities
1) 2+ Years of experience in PHP & MySQL with OOP concepts
2) 2+ Years of experience in Bootstrap, jQuery, HTML5, CSS3
3) Experience in Laravel / CakePHP / CodeIgniter / Symfony / Yii will be big plus But Not Mandatory
4) Experience in WordPress / Joomla / Mangento or any other CMS will be big plus But Not Mandatory
5) Knowledge of GIT / SVN will be a big plus but not mandatory
6) Knowledge of Linux / AWS server will be a big plus but not mandatory
Key Skills
CodeIgniter, Laravel, Symfony, Yii, CakePHP, Django, WordPress, MongoDB, MySQL
Benefits & Facility
1) Flexible Working Hours
2) Alternate Saturday Off
3) Referral Bonus
4) Full Time Work From Home
5) Leave Benefits (PL, Comp Off & Public Holidays)
6) Extra Activities (Birthday Celebration, Festival Celebration & Outdoor Picnics)
7) Stress Free & Healthy Work Environment
Job Type: Full-time
Salary: ₹15,000.00 - ₹50,000.00 per month
Schedule:
Day shift
Supplemental Pay:
Performance bonus
Experience:
Laravel: 1 year (Preferred)
CakePHP: 1 year (Preferred)
CodeIgniter: 1 year (Preferred)
Work Remotely:
Yes
Speak with the employer
+91 9879297850"
594,Full Stack Developer,evaluate creative concept define development approach together team create prototype demonstrate functionality interaction technique review wireframes design ensure interface usability regard web standard technical specification accessibility requirement build and/or recommend build interactive deliverable according approved design technical specification pros/cons using sas le etc maintain working knowledge latest technology prepared confidently present option relation project responsible aware timeliness meeting milestone deadline develop website html cs javascript modern programming language use git version control code repository develop content management system wordpress and/or drupal
595,Full Stack Developer,team ’ building customer facing platform help shopper connect collaborate agent buy home part goal ’ also developing platform learn shopper relationship 're looking creative experienced full stack software engineer design build scale platform partner closely product data science machine learning team create new product experience distributed service apis serving customer agent relationship team outstanding place build learn experiment technology perspective 'll work include java python react redux aws technology like dynamodb lambda much role believe everyone want purchase home deserves collaborate one best real estate agent industry agent relationship team ha already transformed way identify understand mean phenomenal agent home shopper ready build software power revolution million people ? 'd love hear love building across stack frontend service data infrastructure get excited learning creating something end-to-end solving whatever problem need solved lead technical architecture discussion early exploration idea deciding concrete path forward take pride building running secure reliable performant distributed service support customer world deep experience building stateless stateful backend service cloud ; service stack run aws us technology like lambda dynamodb enable rapid deployment iteration ’ excited mentor team member teach ’ learned running service production scale thrive environment belief prototype speak louder spec want create standard methodology influencing team zillow raise bar testing standard code quality maintainability growing rapidly high availability performance crucial success tremendous opportunity lead building thing right way team belief deeply operational excellence come join u b degree computer science equivalent practical experience 4+ year software development experience experience java c/c++ python experience front-end technology j html cs experience working framework like react angular yui get know u zillow group house portfolio largest vibrant real estate home-related brand web mobile mission build largest trusted vibrant home-related marketplace world zillow group owned fueled grown innovator help people make better smarter decision around thing home encourage one another every level effort supported employee-driven world-class benefit enable u enjoy life outside office building fulfilling career impact million individual every day _zillow group equal opportunity employer committed fostering inclusive innovative environment best employee therefore provide employment opportunity without regard age race color ancestry national origin religion disability sex gender identity expression sexual orientation protected status accordance applicable law preparation make help ensure comfortable positive interview experience please let u know._
596,Flutter Developer,"Jr/Sr Software Engineer
Required skills : React Native very good command & done at least 1 project
B.E / BCA / MCA / Msc. IT
Additional Perks:
1) 1st to 4th Saturday half-day(except 5th)
2) Learning session
3) Motivation Session
4) Employee Engagement Activity
5) Salary on time
6) Festival Celebration
7) Friendly environment
8) 1 Day Credit after 6months
Job Types: Full-time, Fresher
Pay: ₹12,000.00 - ₹35,000.00 per month
Schedule:
Day shift
Selection rounds:
Written test
HR Interview
Technical Interview
Industry:
Software Development"
597,Network Administrator,"Is managing large networks and building data centers your cup of tea? Then you will thrive and grow with our IT team. We are looking for IT rock stars with a zeal to become IT managers and Senior consultants. You will build new IT infrastructure from the bottom up.
Responsibilities
Windows and Linux systems, business applications, anti-virus protection, email and authentication administration.
Perform software and application development, installation, and upgrades.
Plan and implement network security, including building Firewalls, managing host security, file permissions, backup and disaster recovery plans, file system integrity, and adding and deleting users.
Evaluate and/or recommend purchases of computers, network hardware, peripheral equipment, and software.
Install, configure, and maintain workstations, file Servers, Ethernet networks, network cabling, and other related equipment, devices, and systems; adds or upgrades and configures modems, disk drives, data acquisition boards, CD ROM units, printers, and related equipment.
Troubleshoot networks, systems, and applications to identify and correct malfunctions and other operational difficulties.
Network administration (including backup, security management, user account management, e-mail systems including e-mail web server, Internet access, office systems and applications support).
Supports server, network and desktop hardware, software and applications.
Plans, implements, and supports the network and computing infrastructure plan.
Manages small to medium sized projects according to agreed upon budgets and schedules.
Network Infrastructure design and troubleshooting; WAN and TCP/IP administration; Software/Hardware, testing, maintenance, support; and advanced end-user support.
Ability to identify and resolve computer system malfunctions and operational problems.
Ability to provide technical training to end users and learn and support new systems and applications.

Platforms/Applications
Linux, ClearOS, Windows Server 200x, Windows XP to 7, VMWare, MS Office, MS Exchange, Tally , PeopleSoft or any ERP system, LAN/WAN, WMS systems, Microsoft SQL support
Minimum Qualifications
2 year Associate’s Degree
4+ years experience PC and network support experience in a Unix/Microsoft environment.
Computing and network hardware and peripheral equipment.
Knowledge of computer and/or network security systems, applications, procedures, and techniques.
Windows Servers and desktop products.
Demonstrated ability to administer a 250+ node network including Firewalls.
Demonstrated ability to support networked printers and photocopiers.
Preferred Qualifications
Any Graduate with completion of echnical courses like GNIIT (which involves more than 1 years of technical training), MCSC,/MCSE, MCP, Red Hat Certified RHCE, VCP etc.
Experience with ClearOS, SAN/NAS.
Experience with Cloud based networks.
Minimum 2 years experience as Windows Systems Administrator
Minimum 2 years experience as a Linux Systems Administrator
Supervising or training juniors, and being the consultant for computer problems beyond the knowledge of technical support staff."
598,iOS Developer,"01 - 4+ Years Experience
If you're passionate, reliable and up for the challenge and excitement of working with us, then please get in touch with below opening positions."
599,Flutter Developer,"As a Flutter Developer, you will create multi-platform apps for iOS and Android using Google's Flutter development framework. The primary focus will be on creating new experiences.
You must have a minimum of 1 years of previous experience in Flutter development.
Responsibilities and Duties:
Experience building and deploying a moderately complex Flutter app
Translating UI/UX designs into code
Firebase
Knowledge of Location Services, Maps, and other common Android/IOS libraries
Job Type: Full-time
Salary: Up to ₹20,000.00 per month
Schedule:
Day shift
Experience:
work: 1 year (Preferred)
java: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No
Speak with the employer
+91 8554083184"
600,Java Developer,"J.D. Mellberg Financial is a fast growing sales and marketing firm in the financial services industry listed as one of America's fastest growing companies by Inc. magazine the last 7 years. We specialize in providing safe financial retirement planning. As an independent financial advisory firm, we are dedicated to personalized service with uncompromising integrity and affordability.
Description: *
We are currently looking for a PHP Developer that has strong skills in PHP / Javascript / jQuery and basic understanding of CRM systems to join our Software Development Team and help support the build, enhance and continuously development of our financial applications.

If this sounds like you, please read on.
Qualifications: *
LAMP Developer (Linux, Apache, MySQL, PHP)
Experience with OOP and PHP MVC frameworks - Symfony preferred
Full Stack Developer comfortable with client-side development, server-side development, and database development - preferred
Experience with Linux server administration - preferred
Experience with Relational Databases - MySQL preferred
Experience with Stored procedures, functions, triggers, views - MySQL preferred
Experience with Relational Databases, stored procedures, functions, triggers and views
Experience with CRM systems (specifically Salesforce) -- a big plus.
Strong understanding of JavaScript | HTML5 | CSS | jQuery | ajax | bootstrap.
Experience with CRM systems (specifically Salesforce) -- a big plus.
Solid experience integrating APIs.
Ability to multi-task and prioritize in a fast-paced and dynamic work environment
Good documentation and communication skills and ability to work as part of a team.
Strong ability to debug existing PHP Applications and improve performance.
Basic understanding of GIT version control.
Job Type: Full-time

Benefits:
401(k)
Dental Insurance
Health Insurance
Paid Time Off
Schedule:
Monday to Friday
Experience:
PHP: 4 years (Required)
SQL: 4 years (Required)
Location:
Tucson, AZ (Required)
Work authorization:
United States (Required)
Work Location:
One location"
601,DevOps Engineer,"ADI Recruitment Indonesia is looking for candidates to apply for QA Engineer in South Jakarta
Only Indonesian Locals
Nationality: Indonesian
Language Proficiency: English
Job Requirement:
Experience developing engineering applications for a large corporation
Demonstrated project development and leadership skills
Master's degree in Computer Science or Software Engineering is
preferred
Current understanding of best practices regarding system security
measures
Advanced education and application of business analysis techniques and strategy
Experience with software engineering, customer experience, and civil engineering preferred
Experience working together with teams from several departments to facilitate the orderly execution of a proposed project plan
Professional experience and a high-level understanding of working with various operating
Responsibilities
Analyze current technology utilized within the company and develop steps and processes to improve and expand upon them
Establish milestones for necessary contributions from departments and develop processes to facilitate their collaboration
Benefits for DevOps Engineer:
* Salary, Health Insurance, Social Security & Holiday Allowance*
More Information, email to consult1@adiconsulting.co or sales1@adiconsulting.co
ADI Resourcing ‘s Services
IT Staff Outsourcing Services | Recruitment Services | Payroll Services |Visa & Work permit Services
Job Category: IT
Job Type: Full Time
Job Location: Indonesia"
602,Software Engineer,"DUTIES/RESPONSIBILITIES:

Analyze/Plan/Build/Govern/Secure/Monitor infrastructure on cloud based on the requirement. Implementing ARM templates for Environment setup and updates. Implementing backup/restore procedures for cloud hosted Applications. Work with other DevOps Team members and Dev teams on migrating applications hosted on-Prem to the cloud. Managing Azure Cloud Resources and CI/CD deployment pipelines.

REQUIRED SKILLS/ABILITIES:
Experience in building PAAS, IAAS hosting environments
Experience with deploying and hosting web applications in the Azure cloud.
Experience in Azure Administration
PowerShell scripting, Linux Administration experience, Unix
Experience with Azure ARM Templates and Infrastructure as Code.
Experience configuring Monitoring/Alerting solutions.
Experience with Docker and SWARM or Kubernetes
Experience with Microsoft SQL Server/PostgreSQL
Strong Windows Sys Admin Skills
Experience with Azure Service Fabric
Experience configuring CI/CD pipelines
GIT Version Control
DESIRED SKILLS/ABILITIES
Experience administrating TFS/Azure DevOps
Experience with one or more of the following configuration management tools: Puppet, Ansible, or Chef
Experience with administration of one or more of the following preferred:
Jenkins
Team City
TFS"
603,iOS Developer,"Summary
Znap is Dubai's most comprehensive cashback app. Znap seeks to hire an experienced iOS Developer to join their development team to work on the following.
Conceptualize, develop, deploy and maintain consumer focussed iOS apps.
Discover, learn and implement new technologies: they maybe concepts, SDKs, frameworks, modules, packages, new design ideas etc.
Be involved in the entire life cycle of the product.
Write well designed, testable, secure, efficient code by using best software development practices for future use.
Key Skills
App Developement, iOS, Swift 5, CoreData, Camera, Barcode and QR scanning, Apple Pay, Video Playback, CoreLocation, User Experience Design etc
Required Experience and Qualifications
Minimum 4 years of experience in building consumer focussed native iOS mobile applications using Swift.
Must have published Apps in the App Store. (provide links please)
Good knowledge of Computer Science fundamentals and Object Oriented Programming.
Convert art works and wireframes provided by design team to high quality code.
Experience in working with essential SDKs such as Ads, Firebase, Analytics, AppsFlyer etc.
Working with UI designers to create a usable user interface and build a great user experience.
Work with third party libraries to integrate proximity sensing and related applications.
Manage periodic app releases in App Store by ensuring the app is within the limitations and has all approvals.
Guide and work with web developers on ideal structure for REST based APIs.
Identify performance bottlenecks and provide solutions and optimizations.
Unit test the code.
Expected start date: 21/12/2020
Job Type: Full-time
Salary: ₹300,000.00 - ₹500,000.00 per year
Schedule:
Monday to Friday
Work Remotely:
Temporarily due to COVID-19"
604,Backend Developer,"Preferred Immediate Joiners
No work from home option available
Should be ready to work for 6 days
Roles & Responsibilities
Should have hands-on experience in Web Development
Good understanding of PHP and its frameworks and Object-oriented programming paradigm.
Able to understand project requirement and handle project independently.
Strong learning capability.
Having a good knowledge of Jquery.
Having a good knowledge of Git, Bitbucket.
Strong Knowledge in API Development (REST Full API, JWT)
Framework experience would be beneficial.
Should be comfortable to work with the team.
Should be comfortable with work on any MVC based framework.
Able to understand project requirement and handle project independently.
Strong learning capability.
Contribute in all phases of the development.
Knowledge of PHP / CodeIgniter / Laravel will be preferred.
Basic Knowledge of JavaScript, Web Services.
Sound knowledge of MYSQL, Javascript, MongoDB etc.
Required Background:
must have 3-7 yrs of experience.
Qualification- BCA / MCA – B.Tech / M.tech, BSC (IT)
Skills – HTML5, CSS3, SCSS, Bootstrap, PHP (Laravel, CodeIgniter), Opencart, Javascript, Ajax, Jquery, MongoDB, MYSQL, API, REST Full API for Mobile Application.
Expected Start Date: 1/11/2020
Job Type: Full-time
Salary: ₹300,000.00 - ₹900,000.00 per year"
605,Java Developer,"Areas of responsibility: -
The candidate will be responsible for technology framework and able to demonstrate technical leadership in all the bricks and modules in IoT enabled cloud applications development, with a focus on the design of systems and services that run on shared cloud platforms.
The Technical Lead would play a major role in design and development entire application with entrepreneurial mind set.
Additionally, the Technical Lead will be responsible for ensuring that all applications are designed and optimized for cost, high availability, and elastic scalability.
Technical Competencies: -
The ideal candidate should have a Masters/Bachelor’s degree in Computer Science or equivalent. Advanced degree or additional certification on IOT/Data analytics/Cloud solution is welcome.
Minimum 7 or more years’ experience in developing complex IOT application in large product-based organizations is required. Proficient in Web app/mobile app development(Android and iOS), middleware, database management and subscription services.
Proficient in Java full stack development and able to provide technical leadership to team
The position requires strong technical leadership and team player skills and must be able to collaborate with design partners and efficiently deal with a group of high performing individuals.
Hands on experience in development to demonstrate knowledge of cloud architecture and implementation features. Should possess knowledge of DevOps tool chains and processes and Act as a Subject Matter Expert to the organization on cloud based end-to-end architecture, including Azure components.
Keep up overall industry knowledge on latest trends and technology evolution. Conversant with solutions architecture and evaluate architectural alternatives for various system and services like IaaS, PaaS, etc.
Should drive scope definition, perform requirements analysis, functional and technical design, application build, product configuration, unit testing, and production deployment. Exposure to multiple, diverse technologies and processing environments.
Conversant with business process re-engineering principles. Strong understanding of network architecture and application development methodologies

Areas of responsibility: -
The candidate will be responsible for technology framework and able to demonstrate technical leadership in all the bricks and modules in IoT enabled cloud applications development, with a focus on the design of systems and services that run on shared cloud platforms.
The Technical Lead would play a major role in design and development entire application with entrepreneurial mind set.
Additionally, the Technical Lead will be responsible for ensuring that all applications are designed and optimized for cost, high availability, and elastic scalability.
Technical Competencies: -
The ideal candidate should have a Masters/Bachelor’s degree in Computer Science or equivalent. Advanced degree or additional certification on IOT/Data analytics/Cloud solution is welcome.
Minimum 7 or more years’ experience in developing complex IOT application in large product-based organizations is required. Proficient in Web app/mobile app development(Android and iOS), middleware, database management and subscription services.
Proficient in Java full stack development and able to provide technical leadership to team
The position requires strong technical leadership and team player skills and must be able to collaborate with design partners and efficiently deal with a group of high performing individuals.
Hands on experience in development to demonstrate knowledge of cloud architecture and implementation features. Should possess knowledge of DevOps tool chains and processes and Act as a Subject Matter Expert to the organization on cloud based end-to-end architecture, including Azure components.
Keep up overall industry knowledge on latest trends and technology evolution. Conversant with solutions architecture and evaluate architectural alternatives for various system and services like IaaS, PaaS, etc.
Should drive scope definition, perform requirements analysis, functional and technical design, application build, product configuration, unit testing, and production deployment. Exposure to multiple, diverse technologies and processing environments.
Conversant with business process re-engineering principles. Strong understanding of network architecture and application development methodologies
Expert knowledge of object-oriented programming, Architecture and Design Patterns.
Strong development and debugging experience with Java/J2EE technologies, including Spring (Spring Framework and Spring Boot), Hibernate, Web Application/ Web Services with Apache Tomcat, Restful Webservices, etc.
Experience troubleshooting technologically challenging customer issues. Able to use advanced debugging techniques including analysis of heap/thread dump files, tracing, and performance tuning and monitoring
Experience in REST, SOA, Pub-Sub, and good knowledge of Microservice architectures
Experience in UI based technologies i.e. HTML , Angular 6/7/8
Experience in one or more Non-relational databases such as MongoDB, Cassandra
Proficiency with Unix/Linux.
Demonstrated experience in working with Virtualization and Containerization stacks and tools. Knowledge of container and cluster orchestration technologies, such as Docker, Kubernetes, etc.
Proven ability to effectively troubleshoot program errors.
Ability to write efficient and optimized code for achieving the highest performance.
Skills in - Java , J2EE, REST Web service , Sprint boot framework , HTML,CSS, Angular 6/7/8, MongoDB, Kubernetes, Docker, Azure Cloud, AI and ML (Good to have)
Behavioral Requirement: -
Demonstrate technical leadership and ability to work in agile environment as a constructive team player
Work closely with project team spread across different locations to manage scope and technical risks.
Assume a role of coach and mentor to junior project team members on their assigned project tasks. Develop a cohesive team and ensure their sustained success"
606,Network Administrator,"WORK EXPERIENCE AND SKILLS:
· BSc/BCA/MCA in Information Technology, Computer Science or a related discipline;
· Professional certification (e.g. Microsoft Certified Systems Administrator (MCSA/CCNA)) is an added advantage.
· Minimum 3 years’ experience in a similar job role or System Administrator or Network Administrator in a reputed company.
· Experience with databases, networks (LAN, WAN) and patch management
· Knowledge of system security (e.g. intrusion detection systems) and data backup/recovery
· Ability to create scripts in Python, Perl or other language
· Familiarity with various operating systems and platforms
· Resourcefulness and problem-solving aptitude
· Excellent communication skills
· He must be a highly-motivated professional possessing innovative technical skills.
AGE: Below 40 years
REMUNERATION: Best in the industry plus fully-furnished air-conditioned accommodation and food.
RESPONSIBILITIES:
· Install and configure software and hardware.
· Manage network servers and technology tools.
· Set up accounts and workstations.
· Monitor performance and maintain systems according to requirements.
· Troubleshoot issues and outages.
· Ensure security through access controls, backups and firewalls.
· Upgrade systems with new releases and models.
· Develop expertise to train staff on new technologies.
· Build an internal wiki with technical documentation, manuals and IT policies
Job Type: Full-time
Salary: ₹18,000.00 - ₹20,000.00 per month
Experience:
system administration: 2 years (Required)
work: 1 year (Preferred)
total work: 3 years (Preferred)
Education:
Bachelor's (Preferred)"
607,Java Developer,"Noida

Experience

4-7 Years

Job Description

Core Java , OOPS concepts

Spring Boot, Hibernate, Microservices

Good in Database

Good in Communication skills

Let me know in case you need any other information

Resumes are to be shared at himanshu.sharma1@puresoftware.com

Want to know more about us, visit www.puresoftware.com

Any Query

Please, fill in the form to submit your Resume

Upload your Resume"
608,Java Developer,"Principal Consultant,
Java Full Stack
Function: Operations

Bangalore,
India

With a startup
spirit and 80,000 curious and courageous minds, we have the expertise to go
deep with the world’s biggest brands—and we have fun doing it. Now, we’re
calling all you rule-breakers and risk-takers who see the world differently and
are bold enough to reinvent it. Come, transform with us.

With a startup spirit and 90,000 curious and courageous minds, we have the
expertise to go deep with the world’s biggest brands—and we have fun doing it.
Now, we’re calling all you rule-breakers and risk-takers who see the world
differently, and are bold enough to reinvent it. Come, transform with us.

Are
you the One we are looking for?
Inviting
applications for the role of Principal Consultant, Java Full Stack
Responsibilities
In this
role, resource will be responsible to collaborate with design team,
technology, and architecture teams. Responsible for the usage of
technologies across the existing client products. Build components, and
perform integration testing. Design and maintain coding standards to
improve user experience.
You
shall also be involved in crafting and documenting of the software
architecture based on existing architecture and inputs received from
Client from time to time. Perform unit testing, integration testing and
UAT as and when required. Also, engage with Client in requirement
gathering, Status update on work, UAT and be the key partner in the
overall engagement.
Qualifications

Minimum qualifications

BE/B Tech/ MCA/BCA

Excellent written and verbal communication
skills

Technology Skills such as Java/J2EE, HTML,
CSS, Java Script, Angular JS, Node JS, Spring Boot, Web Services, Oracle and
Python

You will be given an opportunity to work
with designing and maintaining large Java based application in different
middleware!

If you are a go getter Peron with
having understanding of human dynamics in a complex and high stress environment
and your responsibilities shall include conducting compelling technical
briefing & demonstrations, undertake requirement gathering, Designing and
Solutioning. The person should have a technical capability to implement new
technologies and articulate the solutions to the customer.
Preferred qualifications

Experience in
Core Java (1.8 or higher) and Spring framework (Core, AOP, Batch, JMS). Knowledge
of developing multi-threaded and synchronization application including, Web
Services (SOAP and REST) and JMS/IBM MQ.

You should
have experience in developing complex Java based Micro services APIs using
Spring-boot.

Also,
knowledge of Oracle PL/SQL development and activities like Performance tuning /
Optimization.

Experience of
using Git/Bitbucket, Maven/Bamboo, & related tools.

Exposure to
Continuous integration using DevOps.

Good
Understanding of Agile Delivery Methodology & experience in working with
Scrum teams.

Genpact is an Equal Opportunity Employer and considers applicants for all
positions without regard to race, color, religion or belief, sex, age, national
origin, citizenship status, marital status, military/veteran status, genetic
information, sexual orientation, gender identity, physical or mental disability
or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values
diversity and inclusion, respect and integrity, customer focus, and innovation.
For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and
YouTube."
609,Flutter Developer,"We are an established IT company based in Dubai-UAE currently expanding our development team in India.

*The Position*:

We are looking for Flutter Developer.

*Minimum Requirements: *

· Bachelor's degree in computer science.

· 2-6 years of solid Programming Experience.

· Minimum 1 year of experience in Flutter.

*Skills Required: *

· App design implementation in Dart.

· Working on bug fixing and improving application performance.

· Choose the best flutter architecture suited for the project.

· Ability to integrate REST API's efficiently.

· Good experience in either Android or iOS publishing.

· Good experience in integrating plugins & SDK's.

*The Location: * Koratty info park, Thrissur, Kerala

Job Types: Full-time, Contract

Experience:
* flutter: 1 year (Required)

Education:
* Bachelor's (Preferred)"
610,DevOps Engineer,"5+ years of experience in OpenShift and/or Kubernetes experience
3+ years of experience in CI/CD DevOps
5+ years of experience with containerization/orchestration technologies tools like Kubernetes, Docker, Rancher, Mesos, and Swarm
Certification in AWS SysOps or equivalent DevOps experience is desired
Advanced hands-on experience Kubernetes, dockers
Expertise in designing and setting up fault-tolerant OpenShift and AWS ELK clusters
Thorough understanding of A/B, Blue/Green deployments
Deep understanding and experience with git
Kubernetes (OpenShift), on Kubernetes on AWS (ELK) or on-prem environments
Experience with config/provisioning tools like Ansible,Terraform, Chef, Puppet, or Salt
Networking/DNS/Certificates
Security scanning / vulnerability
Database installation and management
Experience in Monitoring tools like Grafana
Experience in ELK and log streaming
Experience in Service meshes in production microservice applications
Linux (RHEL preferred)
Scripting/development skills. Python and Bash scripting are preferred
Team player that fully embraces DevOps culture, eliminate barriers and bridge moats
Good verbal and written communication skills
Government or large organization experience
Skills
Experience working with Amazon Web Services and strong experience with cloud primitives such as VPC, Identity, and Access Management (IAM)
Hands-on experience Gitlab - CI/CD pipeline
Experience SCM tools such as Git
Hands on experience in AWS infrastructure with Ansible (Configuration Management), Docker (Microservices), Terraform or CloudFormation (Infra-as-code), Gitlab (CI/CD)
Experience with scripting and automated process management via scripting, such as Go, Bash, or Python
Configuration experience in SonarQube
Hands-on deployment & maintenance of MongoDB, Redis, Logstash, Kibana
Excellent experience in Cloud based services (AWS)
Excellent experience in App monitoring: Prometheus, Grafana, etc,
Ability to code, deploy and support large scale enterprise-grade 100% microservices architectures
Designs & develops enhancements to the application when identified by creating new components
Understands 24x7 support issues and how to avoid the need to be on the phone at 3 AM
Experience with performance analysis, optimization, debugging and monitoring
Designs & develops automation when the opportunity arises
Prepare and present system documentation and analysis
SSH into individual Linux servers to review logs and triage problems
Build, deploy, and source code maintenance of new versions of applications in the AWS/OpenShift hosting environment
Be able to define Continuous Integration/Continuous Delivery pipelines (GitLab CI)
Experience writing Infrastructure-as-Code using Terraform or AWS CloudFormation
Proficiency in scripting using Bash, Python
Experience with networking concepts like Routing, SNMP, Web Application Firewalls, Load Balancing, and VPNs utilizing products including those from Cisco, Brocade, Fortinet, and/or F5
Solid understanding of networking concepts and troubleshooting
Perform system monitoring, backup, deployment and maintenance in daily basis
Continuously identifying new tools, ideas to improve the whole process of production systems.
Extra-Awesome If You Have:
Driven to achieve a high level of client and customer satisfaction
Exceptional problem-solving skills
Ability to work independently and within a team as a technical SME.
Passion for delivering high-quality technical solutions
Strong crisis management skills
Strong oral and written communication skills including presentation skills with both technical and non-technical audiences
Natural enthusiasm and ability to learn cutting edge technologies
AWS Certified Solutions Architect, OpenShift Expert
Awareness of EC2 Systems Manager and Parameter Store
Understanding of large scale data challenges
Experience using Docker and Kubernetes CLI experience
Job Types: Full-time, Contract, Permanent
Salary: From Rp25,000,000 per month
Experience:
OpenShift and/or Kubernetes : 5 years (Required)
CI/CD DevOps : 3 years (Required)
Kubernetes, Docker, Rancher, Mesos, and Swarm: 5 years (Required)
Location:
Jakarta (Required)"
612,iOS Developer,"iOS Developer job description : *
We are looking for Software Engineer iOS who possesses a passion for pushing mobile technologies to the limits and will work with our team of talented engineers to design and build the next generation of our mobile applications.
iOS Developer duties and responsibilities : *
Design and build advanced applications for the iOS platform.
Collaborate with cross-functional teams to define, design, and ship new features.
Unit-test code for robustness, including edge cases, usability, and general reliability.
Work with the design team and translate their designs into working mobile applications.
Work with outside data sources and APIs.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Requirements and qualifications : *
B.Tech/MCA in Computer Science Engineering or a related subject
Proven software development experience ( Min 2 - 4 years max)
Proficient in Swift, with a good knowledge of its ecosystems
Solid understanding of object-oriented programming
Experience with Cocoa APIs on OS X
Good knowledge of performance limits and characteristics
Knowledge of memory management and multi-threading
Experience with embedded databases and other system data stores
Familiarity with RESTful APIs to connect to back-end services
Good sense of UI Design and a user-oriented focus
Implementation of automated testing platforms and unit tests
Knack for benchmarking and optimization
Understanding of Apple's design principles and interface guidelines
Proficient understanding of code versioning tools Git / Bitbucket
Familiarity with continuous integration
A deep familiarity with Swift, MVVM and Cocoa Touch.
Experience working with iOS frameworks such as Core Data, Core Animation, Core Graphics, and Core Text.
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies.
Solid understanding of the full mobile development lifecycle.
Good understanding of the MVC architecture.
Must be proficient in verbal and written English communication.
Should be able to interact with the client confidently.
Job Type: Full-time

Schedule:
Monday to Friday
Experience:
work: 1 year (Preferred)
total work: 2 years (Preferred)
iOS: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
Objective-C (Preferred)
Work Remotely:
Yes"
613,Network Administrator,"Required Network Engineer with Knowledge of Hardware and Networking Device Installation, troubleshooting, virtualization.
design and implement new solutions and improve resilience of the current environment
Knowledge of Windows Server. Can Manage Configure Network Activities like the Internet, systems connectivity, LAN Management
Installation Of Multimedia Products Installation. Configuration of Operating Systems.
Can Manage Network, Server, Switch & Structure Cabling Environment Setup.
Ensuring the highest levels of systems and infrastructure availability.
Should know about CCTV, EPBX, Attendance systems. Fire Wall.
Designing and installing computer hardware configurations.
Installing software and networking systems.
Troubleshooting network and software issues.
Installing high-level software security systems.
Fixing hardware, software, and networking issues
Other job titles used for this area of work include:
network architect/computer network architect
network/helpdesk support
support/security/systems engineer
IT/systems support engineer
network administrator
first/second-line support
VoIP/Cisco engineer.
Expected Start Date: 1/11/2020
Job Types: Full-time, Walk-In
Salary: Up to ₹25,000.00 per month
Experience:
Routing & Switching : 1 year (Preferred)
Networking: 2 years (Preferred)
Firewall: 1 year (Preferred)
Location:
Ahmedabad, Gujarat (Preferred)
Application Question:
What is your current CTC ?
Work Remotely:
No"
